rating,genre,year,score,votes,continent,runtime,gross
PG,Comedy,1982,6.2,895,North America,108,6968359
G,Drama,1982,7.2,1300,Europe,109,3783329
R,Action,1982,6.1,460,North America,98,3355948
Not Rated,Fantasy,1982,5.8,665,Europe,106,22440
G,Animation,1982,6.3,256,North America,94,5124391
R,Comedy,1982,6.8,336,Oceania,106,777087
R,Horror,1983,8.3,766000,North America,170,65884703
PG,Horror,1983,7.1,78000,North America,91,25697647
PG,Action,1983,8.3,973000,North America,131,475106177
R,Comedy,1983,6.8,83000,North America,99,63541777
R,Action,1983,7.4,100000,North America,98,61399552
R,Comedy,1983,7.5,141000,North America,116,90404800
PG,Action,1983,5,66000,Europe,125,59950623
R,Comedy,1983,7.2,34000,North America,105,56399659
PG,Drama,1983,4.7,15000,North America,93,64892670
PG,Action,1983,3.7,41000,North America,99,87987055
R,Horror,1983,6.7,75000,North America,110,21017849
R,Drama,1983,6.2,50000,North America,95,92921203
PG,Action,1983,7.1,93000,North America,114,79567667
PG,Action,1983,7.8,57000,North America,193,21192315
PG,Action,1983,6.1,31000,Europe,121,16916617
R,Comedy,1983,4.9,2800,North America,102,24071666
R,Drama,1983,7.2,65000,North America,103,20766616
PG,Action,1983,6.5,98000,Europe,131,67893619
R,Comedy,1983,5.3,6100,North America,89,14049540
R,Comedy,1983,6.4,14000,North America,99,17343596
R,Horror,1983,7.2,32000,North America,94,2494480
R,Horror,1983,7.2,86000,North America,87,2120439
PG,Comedy,1983,7.4,57000,North America,132,108423749
PG,Horror,1983,6.5,34000,North America,101,29450919
PG,Action,1983,6.2,63000,Europe,134,55432841
PG,Comedy,1983,7.9,134000,North America,93,20653717
R,Horror,1983,6.1,41000,North America,93,21156152
R,Action,1983,6.6,42000,North America,117,67642693
R,Drama,1983,6.7,24000,Europe,97,5988322
PG,Comedy,1983,6.6,22000,North America,91,64783827
R,Action,1983,6.4,18000,North America,109,42313354
R,Action,1983,5.9,8700,North America,100,19910002
R,Horror,1983,6.5,25000,North America,113,34725000
PG,Comedy,1983,7.4,22000,Europe,111,5899678
R,Horror,1983,7.2,14000,North America,123,9190819
R,Biography,1983,7.2,19000,North America,131,35615609
R,Drama,1983,5.9,16000,North America,91,17233166
R,Drama,1983,5.7,11000,Europe,96,4218594
R,Comedy,1983,5.2,3300,North America,97,22587834
PG,Drama,1983,6.6,13000,Europe,133,40218899
PG,Animation,1983,6.6,10000,North America,81,760883
PG,Drama,1983,6.9,6900,North America,95,4786789
PG,Action,1983,6,7500,Europe,96,4300000
R,Comedy,1983,7.5,115000,Europe,107,14949697
Not Rated,Drama,1983,8.1,24000,Europe,125,55269
R,Comedy,1983,5,3200,North America,96,20307325
PG,Action,1983,3.5,8200,North America,85,5678950
R,Action,1983,4.6,4600,North America,80,11919250
R,Comedy,1983,5,11000,North America,98,33759266
PG,Fantasy,1983,6.8,8600,North America,95,8400000
PG,Drama,1983,7.4,9700,North America,92,8443124
R,Biography,1983,6.7,6000,North America,103,6472990
